Остатки по КТ по размерам
Артикул продавца,Название,Артикул WB,Предмет,Бренд,Размер,Регион,Склад,Доступность,"Заказали, шт","Заказали на сумму, ₽","Выкупили, шт","Выкупили на сумму, ₽",Процент выкупа,"Заказы в среднем за октябрь, шт","Общее среднее кол-во заказов, шт","Остатки на текущий день, шт","Стоимость остатков на текущий день, ₽",Оборачиваемость текущих остатков,Оборачиваемость средних остатков,"В пути к клиенту, шт","В пути от клиента, шт","Текущая цена с учетом скидок, ₽",Время отсутствия товара на складе,"Упущенные заказы, шт","Сумма упущенных заказов, ₽","Упущенные выкупы, шт","Сумма упущенных выкупов, ₽"
Its1_2_3/50g+AksPoly/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024921,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Неликвид,2,4616,,,,0.29,0.29,92,202413,>999д,>999д,,,2200,0ч,0,0,0,0
Its1_2_3/50g+AksPoly/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024921,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Краснодар,Неликвид,1,2416,,,,0.14,0.14,,,0ч,>999д,,,2200,5д 20ч,0,0,0,0
Its1_2_3/50g+AksPoly/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024921,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Неликвид,,,,,,,,,,0ч,0ч,2,,2200,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+Aks5/20g.FBS,"Коллаген морской порошок питьевой для здоровья волос, ногтей",552086750,Добавки для суставов и связок,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Баланс,4,11900,1,2800,100,0.57,0.57,175,612500,306д 6ч,303д 14ч,,,3500,0ч,0,0,0,0
Its1_2_3/50g+Aks5/20g.FBS,"Коллаген морской порошок питьевой для здоровья волос, ногтей",552086750,Добавки для суставов и связок,ITS COLLAGEN,-,Центральный,Коледино,Баланс,,,,,,,,,,0ч,0ч,2,,3500,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+Aks5/20g.FBS,"Коллаген морской порошок питьевой для здоровья волос, ногтей",552086750,Добавки для суставов и связок,ITS COLLAGEN,-,Южный + Северо-Кавказский,Краснодар,Баланс,,,,,,,,1,3500,>999д,>999д,,,3500,5д 10ч,0,0,0,0
Its1_2_3/50g+Aks5/20g.FBS,"Коллаген морской порошок питьевой для здоровья волос, ногтей",552086750,Добавки для суставов и связок,ITS COLLAGEN,-,Центральный,Обухово,Баланс,,,,,,,,,,0ч,0ч,3,,3500,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+Aks5/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",262310316,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Неликвид,15,41696,6,17175,100,2.14,2.14,175,474275,81д 16ч,80д 6ч,,,2710,0ч,0,0,0,0
Its1_2_3/50g+Aks5/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",262310316,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Неликвид,,,,,,,,,,>999д,0ч,3,1,2710,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+Aks5/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",262310316,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Обухово,Неликвид,,,,,,,,,,0ч,0ч,1,,2710,Отсутствовал весь период,0,0,0,0
