Остатки по КТ по размерам
Артикул продавца,Название,Артикул WB,Предмет,Бренд,Размер,Регион,Склад,Доступность,"Заказали, шт","Заказали на сумму, ₽","Выкупили, шт","Выкупили на сумму, ₽",Процент выкупа,"Заказы в среднем за октябрь, шт","Общее среднее кол-во заказов, шт","Остатки на текущий день, шт","Стоимость остатков на текущий день, ₽",Оборачиваемость текущих остатков,Оборачиваемость средних остатков,"В пути к клиенту, шт","В пути от клиента, шт","Текущая цена с учетом скидок, ₽",Время отсутствия товара на складе,"Упущенные заказы, шт","Сумма упущенных заказов, ₽","Упущенные выкупы, шт","Сумма упущенных выкупов, ₽"
Its1_2_3/50g+Aks5/20g.FBS,"Коллаген морской порошок питьевой для здоровья волос, ногтей",552086750,Добавки для суставов и связок,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Баланс,5,14300,2,5200,100,0.71,0.71,195,682500,273д 0ч,232д 13ч,,,3500,0ч,0,0,0,0
Its1_2_3/50g+Aks5/20g.FBS,"Коллаген морской порошок питьевой для здоровья волос, ногтей",552086750,Добавки для суставов и связок,ITS COLLAGEN,-,Центральный,Коледино,Баланс,,,,,,,,,,0ч,0ч,2,,3500,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+Aks5/20g.FBS,"Коллаген морской порошок питьевой для здоровья волос, ногтей",552086750,Добавки для суставов и связок,ITS COLLAGEN,-,Южный + Северо-Кавказский,Невинномысск,Баланс,,,,,,,,,,>999д,0ч,,1,3500,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+Aks5/20g.FBS,"Коллаген морской порошок питьевой для здоровья волос, ногтей",552086750,Добавки для суставов и связок,ITS COLLAGEN,-,Центральный,Обухово,Баланс,,,,,,,,,,0ч,0ч,2,,3500,Отсутствовал весь период,0,0,0,0
Its2/50g+Aks5/20g.FBS,Коллаген морской порошок питьевой для суставов и связок,552086752,Добавки для суставов и связок,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Баланс,3,8300,2,5600,100,0.43,0.43,197,689500,459д 16ч,182д 5ч,,,3500,0ч,0,0,0,0
Its2/50g+Aks5/20g.FBS,Коллаген морской порошок питьевой для суставов и связок,552086752,Добавки для суставов и связок,ITS COLLAGEN,-,Центральный,Обухово,Баланс,,,,,,,,,,0ч,0ч,1,,3500,Отсутствовал весь период,0,0,0,0
ItsSport2/50g+Aks5/20g.FBS,Коллаген морской порошок для суставов и мышц спортсменов,552086756,Добавки для суставов и связок,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Баланс,3,8400,,,,0.43,0.43,192,672000,>999д,>999д,,,3500,0ч,0,0,0,0
ItsSport2/50g+Aks5/20g.FBS,Коллаген морской порошок для суставов и мышц спортсменов,552086756,Добавки для суставов и связок,ITS COLLAGEN,-,Центральный,Коледино,Баланс,,,,,,,,,,0ч,0ч,2,,3500,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+AksPoly/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024921,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Краснодар,Неликвид,1,2416,,,,0.14,0.14,,,0ч,>999д,,,2200,5д 20ч,0,0,0,0
Its1_2_3/50g+AksPoly/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024921,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Неликвид,1,2416,,,,0.14,0.14,93,204613,>999д,>999д,,,2200,0ч,0,0,0,0
Its1_2_3/50g+AksPoly/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024921,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Неликвид,,,,,,,,,,0ч,0ч,2,,2200,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g+AksRecov/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024922,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Неликвид,1,2090,,,,0.14,0.14,192,422427,>999д,>999д,,,2200,0ч,0,0,0,0
Its1_2_3/50g+AksRecov/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024922,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Волгоград,Неликвид,,,,,,,,1,2200,>999д,>999д,,,2200,0ч,0,0,0,0
Its1_2_3/50g+AksRecov/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",192024922,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Краснодар,Неликвид,,,,,,,,1,2200,>999д,>999д,,,2200,0ч,0,0,0,0
ItsSport2/50g+AksDef/20g,Коллаген морской порошок для суставов и мышц спортсменов,192020889,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Не рассчитано,,,,,,,,,,0ч,0ч,,,2307,Отсутствовал весь период,Не рассчитано,Не рассчитано,Не рассчитано,Не рассчитано
Its2/50g+AksDef/20g,Коллаген морской порошок питьевой для суставов и связок,192023173,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Виртуальный Советская 2,Не рассчитано,,,,,,,,,,0ч,0ч,,,2307,Отсутствовал весь период,Не рассчитано,Не рассчитано,Не рассчитано,Не рассчитано
Its2/50g+AksDef/20g,Коллаген морской порошок питьевой для суставов и связок,192023173,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Не рассчитано,,,,,,,,,,0ч,0ч,,,2307,Отсутствовал весь период,Не рассчитано,Не рассчитано,Не рассчитано,Не рассчитано
